-2.,"{-42., -36.000000000000156, -35.603875471609314, -35.6038754716093, 34.72608194002051, -34.49395920743493, -34.49395920743492, 34.35431029553405, 33.76425611680063, -32.89008373582517}"
-1.9,"{-40.599999999999994, -34.999999999999844, -34.60387547160969, -34.60387547160969, 33.64240868535339, -33.49395920743507, -33.493959207434884, 33.210665990068335, 32.91938497422124, -31.890083735825524}"
-1.8,"{-39.2, -34.00000000000013, -33.60387547160958, -33.60387547160948, 32.58291613900712, -32.49395920743506, -32.49395920743487, 32.08393982927949, 32.083820455884585, -30.890083735825247}"
-1.7,"{-37.8, -33.00000000000008, -32.603875471609854, -32.60387547160966, 31.54870722945224, -31.493959207434983, -31.493959207434838, 31.258584545063457, 30.974941845307885, -29.890083735825556}"
-1.6,"{-36.400000000000006, -32.00000000000008, -31.603875471609918, -31.603875471609644, 30.540621479125228, -30.493959207434976, -30.4939592074348, 30.444017118284552, 29.885253651875235, 29.007938454261268}"
-1.5,"{-35., -30.999999999999638, -30.603875471609854, -30.60387547160959, 29.640967330516954, 29.5592099341574, -29.493959207434855, -29.49395920743485, 28.816035155345265, 28.179272028276287}"
-1.4,"{-33.599999999999994, -30.000000000000004, -29.603875471609665, -29.60387547160959, 28.85019350410265, 28.604740516239143, -28.49395920743488, -28.493959207434628, 27.768622453805246, 27.3624507758782}"
-1.2999999999999998,"{-32.199999999999996, -29.000000000000046, -28.603875471609776, -28.603875471609634, 28.072478400591184, 27.677232656666096, -27.493959207435143, -27.493959207435083, 26.744409742463997, 26.558461592409493}"
-1.2,"{-30.8, -27.999999999999766, -27.603875471609822, -27.603875471609765, 27.308624393874116, 26.776513825282546, -26.493959207434933, -26.493959207434678, 25.768353833217883, 25.768353833217763}"
-1.1,"{-29.400000000000002, -27.000000000000107, -26.60387547160972, -26.603875471609655, 26.55944816527403, 25.90228700464357, -25.493959207435132, -25.49395920743512, 24.99323305457895, 24.993233054578912}"
-1.,"{-28., -25.999999999999766, 25.825775295914504, -25.603875471609744, -25.60387547160956, 25.05419813418817, -24.493959207434948, -24.493959207434877, 24.45518172799311, 24.234251332471935}"
-0.8999999999999999,"{-26.599999999999998, 25.108435259750184, -25.000000000000085, -24.60387547160972, -24.603875471609626, 24.231895295537505, 23.97860685112468, -23.493959207435168, -23.49395920743482, 23.492594051613107}"
